Star,x,y,x’,y’
1,198,858,172,893
2,2415,2529,2488,2938
3,2679,1935,2836,2240
4,1518,621,1399,590
5,2046,138,1878,193
6,1260,1800,1034,2049
7,2619,1011,2755,1079
8,3063,1599,3290,1793
9,2952,2256,3141,2583
10,2328,2811,0,0
11,2088,2046,2080,2399
12,947,422,2033,1747
13,2049,1533,814,390
14,2838,126,2933,101
15,747,1539,484,1674
16,440,2329,305,2467
17,1443,2322,1272,2692
18,735,2793,0,0
19,1091,2467,887,2784
20,1923,2709,0,0
21,2914,699,3082,703
22,355,1398,178,1470
23,1253,959,1060,994
24,3634,965,3787,1028
25,3646,1666,3838,1806
26,1911,789,1868,792
26,3493,2149,3680,2355
27,3508,448,0,0
28,3160,2780,3277,3024
29,2430,561,2510,526
30,2521,1611,2638,1841
31,1606,1346,1465,1493
32,814,792,617,797
33,3099,1144,3317,1237
34,468,1845,255,1984
35,1197,1215,966,1310
37,1733,1741,1622,2006
38,1762,1059,1673,1128
39,1886,2519,1827,2936
40,2342,1019,2309,1119
